employee_id,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months,pauli,faxtor,disc_word,iq,gtq,tiki,mbti_enfj,mbti_enfp,mbti_entj,mbti_entp,mbti_esfj,mbti_esfp,mbti_estj,mbti_estp,mbti_infj,mbti_infp,mbti_intj,mbti_intp,mbti_isfj,mbti_isfp,mbti_istj,mbti_istp,disc_cd,disc_ci,disc_cs,disc_dc,disc_di,disc_ds,disc_ic,disc_id,disc_is,disc_sc,disc_sd,disc_si,papi_a,papi_b,papi_c,papi_d,papi_e,papi_f,papi_g,papi_i,papi_k,papi_l,papi_n,papi_o,papi_p,papi_r,papi_s,papi_t,papi_v,papi_w,papi_x,papi_z,str_responsibility,str_restorative,str_belief,str_deliberative,str_input,str_connectedness,str_analytical,str_activator,str_empathy,str_adaptability,str_individualization,str_harmony,str_strategic,str_includer,str_significance,str_discipline,str_arranger,str_competition,str_maximizer,str_futuristic,str_achiever,str_command,str_woo,str_intellection,str_learner,str_focus,str_ideation,str_relator,str_self_assurance,str_communication,str_developer,str_context,str_consistency,str_positivity,rating_2021,rating_2022,rating_2023,rating_2024,rating_2025,cex_2021,cex_2022,cex_2023,cex_2024,cex_2025,csi_2021,csi_2022,csi_2023,csi_2024,csi_2025,ftc_2021,ftc_2022,ftc_2023,ftc_2024,ftc_2025,gdr_2021,gdr_2022,gdr_2023,gdr_2024,gdr_2025,ids_2021,ids_2022,ids_2023,ids_2024,ids_2025,lie_2021,lie_2022,lie_2023,lie_2024,lie_2025,qdd_2021,qdd_2022,qdd_2023,qdd_2024,qdd_2025,sea_2021,sea_2022,sea_2023,sea_2024,sea_2025,sto_2021,sto_2022,sto_2023,sto_2024,sto_2025,vcu_2021,vcu_2022,vcu_2023,vcu_2024,vcu_2025
EMP100010,Maya Jatmiko Handayani,967930,2,3,4,3,2,2,3,1,4,29,43,61,Conscientious-Influencer,84.0,42.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,7.0,5.0,3.0,6.0,6.0,6.0,7.0,4.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,8.0,3.0,5.0,2,10,5,0,0,4,6,14,8,0,0,0,0,13,0,0,12,0,0,0,0,0,0,1,0,3,0,9,0,0,11,7,0,0,2.0,2.0,1.0,3.0,5.0,3.0,2.0,1.0,4.0,5.0,1.0,2.0,2.0,4.0,5.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,5.0,2.0,3.0,1.0,4.0,5.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0
EMP100011,Fajar Halim,617452,4,1,3,5,2,3,3,2,1,51,45,31,Dominant-Influencer,125.0,31.0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0,2.0,2.0,5.0,3.0,8.0,9.0,4.0,3.0,5.0,5.0,1.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,6.0,0,0,0,11,0,0,0,12,14,10,9,0,8,0,0,0,0,0,2,0,0,6,0,13,7,0,0,3,0,1,0,5,0,0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,5.0,5.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,2.0,5.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0
EMP100012,Rendra Tri Purnama,457211,1,2,2,3,2,1,2,4,6,3,20,70,Dominant-Steadiness,108.0,43.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,2.0,6.0,7.0,7.0,4.0,1.0,5.0,1.0,7.0,8.0,1.0,5.0,1.0,5.0,1.0,3.0,5.0,6.0,4.0,0,0,14,2,0,7,6,0,13,0,0,8,0,5,0,10,0,0,0,0,9,0,0,3,0,12,0,1,0,0,0,0,0,11,,3.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
EMP100013,Maya Mahendra,656829,4,4,6,2,1,2,3,1,4,3,88,32,Influencer-Conscientious,124.0,33.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,3.0,7.0,9.0,8.0,4.0,5.0,3.0,3.0,4.0,5.0,1.0,7.0,4.0,3.0,9.0,4.0,2.0,5.0,7.0,2,11,0,0,8,10,6,5,0,12,0,3,0,0,0,0,9,0,0,0,1,4,0,0,0,0,0,0,0,7,0,0,13,0,,2.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0
EMP100014,Wahyu Indrawan,503585,3,3,6,1,3,1,2,4,2,65,92,54,Steadiness-Influencer,92.0,24.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,5.0,9.0,9.0,8.0,5.0,4.0,7.0,5.0,1.0,8.0,8.0,7.0,5.0,5.0,2.0,5.0,2.0,9.0,2.0,0,10,0,0,0,1,0,0,14,0,0,6,0,0,11,0,0,0,13,0,3,0,7,5,4,12,9,0,0,8,0,0,2,0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,4.0,2.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,4.0,5.0,3.0,3.0
EMP100015,Zahra Utama Setiawan,155133,4,2,3,4,5,2,3,2,1,28,65,77,Dominant-Conscientious,109.0,27.0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,5.0,7.0,5.0,6.0,7.0,3.0,1.0,1.0,6.0,9.0,7.0,9.0,9.0,1.0,5.0,3.0,7.0,2.0,6.0,10,14,0,0,3,0,13,0,0,0,9,0,7,0,12,0,4,0,0,0,11,0,0,8,0,0,0,0,5,0,0,2,6,0,3.0,1.0,4.0,3.0,,3.0,1.0,5.0,3.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,5.0,2.0,4.0,3.0,1.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,5.0,3.0,4.0
EMP100016,Dinda Pramudita Ginting,658786,1,4,6,6,5,2,2,1,3,39,83,93,Steadiness-Influencer,97.0,34.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2.0,5.0,3.0,6.0,4.0,3.0,1.0,8.0,5.0,6.0,8.0,9.0,8.0,3.0,2.0,6.0,4.0,7.0,5.0,0,0,4,0,10,0,0,0,0,14,0,0,8,0,0,12,0,1,9,11,0,2,0,5,0,3,0,13,0,0,0,0,6,7,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,5.0,4.0,3.0
EMP100017,Fajar Mahendra,583676,2,1,4,3,1,2,3,2,2,95,55,80,Conscientious-Steadiness,107.0,31.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,2.0,6.0,5.0,8.0,3.0,7.0,4.0,1.0,1.0,2.0,6.0,6.0,1.0,6.0,1.0,3.0,3.0,5.0,5.0,0,7,4,0,12,0,0,0,10,0,14,0,0,0,0,0,0,0,5,0,0,1,8,0,0,0,6,0,9,11,0,3,2,13,3.0,4.0,2.0,,4.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0
EMP100018,Arif Ginting,588205,4,3,5,3,5,3,2,1,6,53,66,69,Steadiness-Conscientious,109.0,28.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,8.0,1.0,6.0,5.0,1.0,6.0,1.0,4.0,6.0,8.0,8.0,7.0,8.0,5.0,9.0,6.0,9.0,9.0,5.0,8,0,9,5,11,12,0,2,0,0,7,14,0,0,0,10,13,0,0,0,0,4,3,6,0,0,0,1,0,0,0,0,0,0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0
EMP100019,Rizki Iqbal Gunawan,341900,3,4,4,2,1,2,1,3,6,27,28,72,Conscientious-Dominant,125.0,23.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0,7.0,4.0,7.0,6.0,9.0,9.0,7.0,2.0,1.0,1.0,3.0,9.0,8.0,4.0,3.0,3.0,5.0,4.0,4.0,0,0,0,0,4,0,0,0,10,0,0,0,14,0,0,13,12,5,7,0,0,8,3,0,0,0,9,0,0,6,0,0,2,0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0
EMP100020,Yoga Erlangga Hartanto,850478,1,3,1,6,4,1,2,4,5,31,83,83,Dominant-Conscientious,132.0,33.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,5.0,6.0,5.0,1.0,8.0,9.0,1.0,6.0,2.0,7.0,5.0,5.0,5.0,9.0,1.0,4.0,2.0,1.0,9.0,0,0,5,0,8,0,11,0,4,12,0,0,9,14,0,0,0,0,7,2,0,13,0,3,0,0,0,0,1,0,0,0,0,0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0
EMP100021,Oka Candra Kurniawan,828497,3,3,1,4,3,2,3,2,6,81,22,34,Conscientious-Steadiness,109.0,27.0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,6.0,2.0,6.0,8.0,5.0,6.0,5.0,2.0,3.0,9.0,4.0,1.0,6.0,5.0,1.0,2.0,1.0,6.0,2.0,10,2,0,1,9,0,0,13,0,0,0,0,0,3,14,7,0,0,0,12,0,0,5,0,0,0,0,6,11,4,0,0,8,0,5.0,3.0,4.0,4.0,,3.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0
EMP100022,Oka Nugroho,674733,2,1,2,3,1,2,2,3,3,53,49,94,Influencer-Conscientious,91.0,35.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,7.0,8.0,3.0,7.0,3.0,1.0,5.0,6.0,5.0,7.0,8.0,9.0,5.0,1.0,8.0,5.0,5.0,2.0,0,0,5,0,11,2,0,1,0,0,0,6,12,10,0,14,0,0,0,0,0,4,7,0,3,9,0,0,13,0,0,0,0,0,4.0,3.0,1.0,5.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,1.0,5.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,5.0,4.0,3.0,4.0,1.0,5.0,4.0,4.0,3.0,1.0,5.0,4.0,4.0,3.0,1.0,5.0,4.0
EMP100023,Adit Kurniawan,555024,4,2,3,2,1,2,2,4,1,49,86,52,Dominant-Conscientious,139.0,30.0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1.0,7.0,4.0,9.0,4.0,5.0,3.0,3.0,5.0,7.0,2.0,3.0,4.0,5.0,2.0,6.0,8.0,5.0,1.0,5,3,2,0,0,0,0,6,0,0,0,0,13,0,8,4,14,0,0,12,0,0,7,0,0,10,0,9,11,0,0,1,0,0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0
